sentiment,content
neutral,just starting my day...a long Friday
enthusiasm,"Duuuude, Tim said that they're making a Red vs Blue animated series! It'll be either on Adult Swim or G4. I hope AS, coz I don't have G4!"
love,c0v89 i know!  This season has just zoomed by!
worry,thomasphantom don't have one yet  but hopefully I'll be ponying up for one soon because this 15&quot
love,"Goooooodmoring , I don't want to be up I am YAT   happy birthday again its_aygee !"
hate,not sure why I can't get tweetdeck to work on my computer. want to know what all of the hype is about
neutral,"Speaking,,,Speaking ..."
sadness,wow.. tomorrow and then it's over. i'll never see some of those people again. it's kind of sad.
fun,Ulcer the Musical! It's ulcer-rific! uls-tacular?! Stomach bleeding fun for the whole family!! (apparently even two drinks is a no no)
neutral,after show at our house rocked! saying goodbye soon
neutral,"my to do list is bananas, before i leave for Europe BOOOO"
sadness,HES BACK!!!!! OH NOES!!!! have you missed me?  Work has been insane and the band has really taken off so i haven't had a moment to myself
surprise,NO! Our TV's busted  The screen turned white for about a nanosecond while it made a quick &quot
worry,I'm a fat and sad puffyn now
worry,MCRmuffin i couldn't be there for her last night cause i fell asleep like a retard.  agh.
enthusiasm,enjoying and exploring my n96 phone.. grr.. it's awesome.. but i wanted the samsung omnia..
happiness,Very lonely here in Gosforth gallery  but excited for meal at Six followed by Antony and the Johnsons tonight. Woohoo!!
neutral,"The internetz is busy this Friday morning: Google Wave, Hulu Desktop, Microsoft's Bing, Tweetie Update and Megan Fox as Wonder Woman"
worry,Sore throat. This is not good. I have four performances this weekend.
sadness,i never get any followfridays
sadness,xkaraxcupcakex  I'm sorry. This is all so sad.
worry,"Oh hell, I forgot the non-alcoholic cider for Monday's dinner. MPP is teetotaler. Now must drive to Waupoos. Have 7 cases of wine in car."
happiness,On my way to the burial
sadness,"Laura_McKay2009 sadly no, sitting inside as mobile signal won't work in the garden   I'll be opening the wine at bang on 5pm though!"
hate,suffering benadryl hangover this morning and a killer headache.... ugh!
worry,"Garden going well, almost all the corn and peas are up, no onions or beets up yet though."
neutral,Good Morning Twitts! Another GloOmy day in NYC!
worry,bdule the installer is crashing towards the end of the installation
neutral,Is off to meet my folks after a while...gonna b a working weekend too
worry,jenisus aww  I have to go to class on that day... So imma do some weird half day thing just cause I wanna see what it's about
hate,gprado Awww I HATE that one!!
happiness,pixls hahahahhahaha it was true! and i could really stretch out and stuff! shame rem's dog got mad when i tried to put him in avi's face
enthusiasm,"garrulous_gal of course! *cough* I mean, no, 1.5 hours extra testing and debugging time"
sadness,xjaded25x not helping!
surprise,dev.java.net : the slowest website
surprise,iamepiclyamazin bahah. but....nick..
worry,My back is killing me...  It won't keep me from dropping it low...hope I got someone to pick it back up tho... LOL
surprise,Andre_Mitchell i've never been to the opera before...don't think that was me
worry,Attending Matthew's Senior Day for recognition and I'm so not ready for this.
hate,KinanLW I live in the Philippines. &gt
surprise,has a headache already?  boo
sadness,Stuck in office till 5. It's so warm outside
sadness,"dwhelan I've wondered about rake to.  The client has made it clear .NET only, don't force devs to learn a new lang  #agile #ccnet"
worry,My ancient iPod is nearing death
hate,"sorry paul scheuring, but prison break series finale sucked... in so many levels"
happiness,"Yay !!!! It's firday.... Have a good one everyone. On my way to work,    Lot's of work pending."
worry,Searching for Dr. Scholl's sandal inserts for men. It seems they only make them for women
neutral,"now, 3 teardrops."
neutral,"Come on bell, RING. I want to go outside."
worry,craigeryowens I work at a movie theatre in Toledo and I'd let you come see it for free. But it's not in 3D
empty,is so bored...
worry,I only have 2
love,I hope you come over today...its almost 8  Ill be leaving at 8:30 if you dont show up...I love you &amp
worry,fuzzydave at YVR.... Fog delay is in SFO so we can't leave yet
worry,fosforo  shame on me!!!
relief,"ost8doc  Sorry...but, I bet they aren't that bad..."
sadness,Oops spent too much already lol 50 quid gone
neutral,mdurwin Yes - noticed that after the retweet..
enthusiasm,had to take my baby to the vet again today
neutral,changhee07 i have cigs but no lighter.
sadness,"i've been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw"
relief,gotta go! bye twitterland!  good night! i'll try sleep. so that i will recover easily! still sick!  bye!
sadness,"Recession hit Veronique Branquinho, she has to quit her company, such a shame!"
worry,Emz2009 so sad emma  u sad to be leaving the show? xx
hate,ugh damn! my usual babysitters graduation is on Wednesday and I just got a meeting request from my boss during her graduation
worry,Forgot to set the alarm for a 6am ride  Hope I can get in a few easy miles after work.  Tomorrow: racin' the Gap!
sadness,apostropheme i'm a real BOY goddamit!!!!!!!!!!!!!! guh. apostro. i feel sad. the library lady thinks i'm stupid. SHE'S STUPID.  j
worry,lkenner i ask myself that all the time.
boredom,memow what did you think of the finale?  I thought it was kind of a cheap way out
fun,DJstweet I know... It was just a joke... all in good fun...  some people get my humor &amp
neutral,soyko I have spammed/trolled howardforums.com as well. I have to keep bumping my thread
sadness,Where's  poss   i miss him
sadness,I'm at my saddest right now. I lost my mobile phone earphones. Waz feels a little incomplete and I feel the same
worry,"mlbliss   Let us know what happens, poor little guy."
sadness,if i wasnt workin in 5 hours id be gettin ratarsed to the point where i couldnt even see let alone stand up...THAT is how shit i feel
neutral,erikvanbrakel company policy. Has been for the last two places I've worked at
neutral,Last day of CGI 09
happiness,iamchrisc I'm soo jealous right now!!
neutral,"hellocuppycake yeah, guess we gotta wait til sometime in June"
worry,NateZim well we aren't normal then because 1. we can't drive in mexico (you have to be 18) and 2. there are no dairy queens here
worry,Waiting waiting waiting very difficult for an impatient lass like me...
worry,Feeling down again. Today is way too stressful.
surprise,i have sore throat. that's suck.
hate,school is so pointlesss. seriously though. 7 days of school left and all we do is watch movies and make powerpoints. let me leaveeee
surprise,will be attending CIC's parents' orientation tomorrow...need to wake up early
neutral,goin to my aunts for the weekend. wont have my laptop blahh
hate,&quot
sadness,streetztalk physics  the most boring class ever!
sadness,"katcal i'm relying on my mobile, which lacks reception. Trying to help, but just looking silly"
neutral,Y CANT WE ALL JUST GET ALONG
love,MYoungPSU  i must have just missed you. I was down there until 9:40 or so. Not sure if I'll make it down again
surprise,I'm making a logo on photoshop &amp
sadness,lewace11 that sucks man
sadness,"Grew fat today  GSS was so hxc I saw a full house Chanel, JC, Pedder Red and Ferragamo! How great is the economic downturn."
neutral,No want work
fun,http://twitpic.com/66ltb - Finito~! Hunk Ah Hunk of Burning Love! I do believe my camera phone is stuffed. Stupid blurryness
neutral,dont go... im sorry for disappointing you
worry,thoughts out to Vicki (MOM) who just hit a deer in her Stage 3 Roush
love,"TrixieStilletto Oh, sweetie, I'm so sorry.  That's the last thing you needed right now. *hugs*"
neutral,wants the tickets for the concert
sadness,No more mrs. reilly
happiness,Just woke up! Annnnd have just realised I missed un uber sunny day...score
worry,Is stranded at home. home in Sg Long.
neutral,I want some Starbucks..
sadness,"Wah, my fav whattaburger location is closing on the 31st. Damn. Good thing I'm moving.  Damn  Mon/fri won't be the same"
worry,I saw the best 1980s back combed poofy bangs this morning on a 30yo... 8 in high. By the time I turned around she was gone... no picture
surprise,it's raining again
surprise,MIffed to discover that I only own De La Soul's &quot
worry,"I should probally bring a box of kleenex to schoool today, I'm going to cry so much"
empty,is working. Boo
fun,NotARichGirl everyone else get all the good stuff!!
worry,"bf moves to the city tomorrow. Currently he lives down the st.  Sadness.  He will be far away  (not TOO far, but not down the street )"
sadness,Gotta go now .. i'm going to Circus .. the real Circus not Britney's Tour  sadly ..
worry,LATINQUEEN83 They ended up staying late  But how was ur night?? LOL
neutral,Logging off Twitter app to preserve battery life.
hate,"cskly Kev, fuck off! I'm stuck in Westgate working"
neutral,KatStopFeeling i widddd but i'll be on a bus to london    &amp
worry,wating for the next metal gear
neutral,off to revise again now
worry,I cut my thumb on a broken coffee pot.
relief,tpgraham the AC tix are actually $20 but the show is sold out.  I'd have to get tix through stubhub and pay up to $70.
worry,"Oh, ew. That's too bad - after not using this certain lip gloss for a long time I just tried to wear it - literally making my lips burn."
worry,'m working on a logo on photoshop &amp
happiness,Cholle2001 lucky...you get to do capoeira
love,"AnikoHeartsJon I am a little bit sick  (voice, nose and head). My brother has shared his microbes with me *sigh* See you later !"
relief,"Finally finished that topic. Quick revision break, then on to How far did Heath change the Conservative party?"
sadness,need some Pizza...can't get out of office
sadness,mycaricature My pleasure and sorry to hear about the pollen thing
hate,My generation is too fucking apathetic to party down in the desert. 30+ knows how to have fun and my age group is generation myspace?
worry,don't want to go to work tonight
sadness,claireyjonesy LMAO i want him to reply  booooo you tommcfly REPLY TO ONE OF US lmfaoooo
neutral,Ahh ! I just woke up.  forgot to reset my alarm clock.
hate,I never get invited to go anywhere
love,Famousnae i know.  i would of gone to red river but i forgot bout it and was tired from work. we need a donut hole eating date soon!
sadness,Tiffany_in_VA I'm not getting your updates to my phone  I'm trying to figure it out but it makes me sad!
worry,yeha i broke their page... damit... im trying to fix it how... hope you dont bank with communityfirstandtrust
neutral,katiekayx come back for another year  pllleeeaaasse
worry,"just when i thought things couldn't get any worse. it just did. and it will get even worse tonight, i bet.  my life is a misery."
worry,lstcinthabldg im good! im on my laptop using and external internet plug. i need to send it away to be fixed
sadness,Is home from MARCO ISLAND and missing it and my girls already...back to work!
neutral,just got back home with my disappointing report card
empty,Fighting with Nagios configuration.  Great tool but the config is a bit of a labour
hate,"Sighs, well I accidentally clicked back space on my mouse"
worry,My2Cynts kittens are cute then they grow up n become CATS
worry,"Told Verizon not to send anyone before 11. He showed up at 10. Gotta deal with this bullshit now, dunno how long I'll be offline."
sadness,i only hav 8 followers                 !
sadness,oh...my foot's hurting now. About 5 minutes after I took it out though.
sadness,not feelin so hot
surprise,jaspercullen I would think you'd want to follow me.
worry,Oh no adult school again
sadness,"My anticipated meet up with Tapan Parikh is no more  apparently he wont pass by Nairobi, and will head straight from Mombasa"
worry,JonathanRKnight Sorry to hear ur flight got cancelled  that blows!!!
neutral,heyyy where'd my tweet go?  *shouts to fuseboxradio bc her lists are always amazing!
worry,I'm currently feeling the wrath of too much alcohol consumption
worry,"kasperapd I tried registering on the website. No go, I get an error with all 4 browsers. Firefox, chrome, ie, safari."
empty,QueenQH D= indeed
sadness,davidtreynolds but but but. I want steak
worry,Can't understand why I'm not getting any response
happiness,Raining...  I missed the rain so much...  I am grateful for it 
worry,"BleedingSweat I saw this link, but I get an error on the CNN site when I open this page and cannot read the article."
relief,I guess I am too freaky for followers.
worry,i'm not feeling twitter at the moment
worry,dreski757 nah I don't finish til next yearrrr!!!   are u stayin in the bad news after graduation?
neutral,working today.  Can't find my key so I had to borrow Miranda's.
neutral,I'm back but not for long
sadness,Parents decided to drop in on their tour-de-US. The whole family is at my house. I am at work
happiness,"had fun tonight ^^ make up, pillow fights and skins. wish i could have stayed over"
surprise,Going to work.  Could use some happy pills
neutral,eligong me too
sadness,Rainbowcentre No  sadly its not  bit disappointed will try again later see if i change my mind
fun,shtoofi well just remember that tmrw is another day and hopefully won't be as craptastic. sorry girrrrl
worry,allyeatscat ya she prob does but i dont want to no about it
neutral,"beardoctor I really should put up a pic, I guess."
worry,Chem final right now. Awwh mrs. Oli! Imma miss you!
sadness,i cant hear anything outta my left ear
worry,Caius the gloss screen on my macbook would probably rule me out
sadness,At work  oh no it's the first day of monthly visitor ahhhhhh
sadness,Anotha day of work  not lookin forward i hate closin fri
neutral,Bandwith limit exceed on filaty
worry,Peter_Duerden JealousMUCH..I want to be outttt  Not stuck in revising. You better have green dragon in my honour lol
enthusiasm,Dubai!!! Still trying to settle down
happiness,Omega is tomorrow. Haven't really planned anything for it. Make sure to come if you can. It'll be awesome. Then move-in June 1st.
hate,I hate packing
fun,"ready for a very busy, FUN day tomorrow! gotta keep myself busy when my lover is gone"
worry,TeeJay882 heyyyyyyyy no love for me no more !?
surprise,What!?!
enthusiasm,I really want a camera!
sadness,mgiraudofficial  i'd give anything to be there. too bad i'm in tennessee.
worry,i seriously neeed to study
sadness,this hot day is making me tired
hate,Seems like everyone I know is asking for computer help...   kill me now
worry,funeral at 2.  today is going to be bad.
neutral,Is at work
neutral,tikcets are only ï¿½91...each...BUT I SO WANT TO GO
neutral,rodcub They know no bounds.....
surprise,does not know hot twitter works
love,ddlovato hey! im a fan form Puerto Rico .. can'wait for your next CD ... xoxoxoxo Come back on tour here please  !!
enthusiasm,Going to the Chiro to see what is wrong with my bum ankle.
hate,When r these DAMN exams ever gone b over and done with?  i wanna b out in the sun
neutral,jasonmhines Rude.
relief,Omfg.lmao.lassetti was right... those bangs did look bad.  lmao
sadness,AdInterim Still jealous
sadness,kevholditch It's NOT good.  1 of our directors said we could go home and the other said back to work  boo! It was good while it lasted.
relief,Pas si terrific que ï¿½a ce twitterrific
sadness,My stomach hurts so bad
sadness,I dont wanna get out of bed i wanna go back to sleep.. i have to open the store at work though
sadness,TheReal_RedBone stop that babe u makin me feel very bad now! :/
worry,on my way to school of my last friday of high school ever!  and i don't even get to see holly Gabbie and hannah
love,"JenRajpura HAHAHA, I'm going to be so disappointed that I miss this   But if you go HAVE FUN!!!"
worry,It's tough being a thick chik
worry,i suppose i best get ready for work  grrr
sadness,Sick kid trumps advance planning.  Bummer
enthusiasm,Hilareeee But...but...I'm not!
hate,unemployment office sucks
worry,So disappointed about the talent lineup for &quot
sadness,Sweena ... so I can't charge you by the hour then?
empty,Is hungry with a sub
worry,"moriagerard Won't really get a break till custody issue is settled and I've moved... another month or so, at least"
worry,"SarfaBarfa My friend Cliff has the tix, so I have to wait on him   Or you can ask trent to just let me in.  You  know, over all else &gt;.&gt;."
neutral,It's hella itchy!  http://twitpic.com/66m7f
love,weekend along with the summer is here so why do I feel sad?
worry,cccaaasss what's wrong?
worry,My hair looks really bad  First thing I'm doing is washing it when I get home.
sadness,Pharriell nothing  let's stay quiet together. ps: did you cry?
sadness,So effing tired  http://bit.ly/e0ZFz
worry,its sad that the rats are becoming aggressive against the guinea pigs. I have to seperate them.
neutral,VINYLFREAK RE: Hulu Desktop in Windows 7 Media Center  http://bit.ly/DEc64but not on extenders unfortunately
neutral,If I were a transformer... I'd step on people just to hear them *squoosh*. But I'm not so I guess I'll just have a cup of coffee instead.
love,RennaSuicide Alright...you missed one crazy party last night
worry,"My knee fucking hurts man  Haylee doesn't even care, GET ME MORE MILKSHAKE-SHAKE-SHAKE-SHAKE IT!"
sadness,Only four hours and fifteen minutes until three day packing spree!!! Ugh work
empty,"Glorious day in Glasgow for a change, and I'm working  Too much to do to even contemplate knocking off early..."
sadness,benjamin_cook you make me sad. Why do I like in canada? I can never watch these things. I should move. Know anyone who needs a roommate?
worry,got 34/40 for exam 1... percentage doesnt look good.
hate,Can I get some gd news for gods sake
hate,I am doing Geography Revision on Earthquakes!  How Boring!!
worry,ive made a terrible mistake   i need an auto save function for everything i do !
worry,"Still unbelievably shocked about the firing of THE best radio personality, Martin Streek"
sadness,SuFiGirl35 well that's no way to start the day off !!!
hate,What a burden. Abit of a fail lunch with Dan
sadness,Jus back after watching Night at a Museum 2......would rate it 5 on 10
worry,no please!
love,Really fucking loved him
worry,At work I don't like today its nasty outside  can't wait to get home today and clean my house!
worry,hotelqueen hmm...your blog won't let me post a comment.
worry,BLEXXED shit i got a shit of hw to do 2nite
hate,"Right, fuck the whole Twitter silence experiment. The last four days have been murder with the inability to mouth off"
love,almcheese alms ur tweets r all delicious. Haha! Since its about foodddd... Anyway gatau nih aku mau pindah dr binus
neutral,andy_sims do you know of any inside scoop on a station that's anything what kwod was? there's nothing for us now
neutral,in communications class
sadness,Didn't bring connector for camera on trip...saving new photos will have to wait another week...
worry,"hair, grow back!"
fun,"Travel trade stalwart, David Steele of City Cruises marks his retirement with a Thames Cruise Party tonight - press day means I miss out"
neutral,just been playin out i am all itchy now  it was fun
neutral,arriving at itexa. Lots of mails to read and some work to do  thanks god weekend is just here
worry,stinegirl2 thats a bad start to the day!
worry,seansmithsucks i would be looking forward to seeing you tonight if i was going
worry,Freaking out a bit..crossing my fingers that things will work out ok
sadness,Its so sad
neutral,TaylaMe3 excuse me ...theres me!!!  jkidding lol...so how long b4 yr fun night out starts lol
worry,I miss my boys
worry,LatinAngel9393 that is so sad. wish I can do something big for the kids. may God Bless the kids always.
neutral,shablack I give it 2 snaps down  how's work going?
worry,tommcfly I'm depressed ! I want to know you and kiss you all
worry,trayzz ... I think I'm gonna fail aswel!
worry,chezmax butbutbut... it has a qwerty keyboard... how can something with a qwerty keyboard go without a nethack port!?
sadness,mixxxonn we watched the today show(: we didnt see you though
happiness,zenithus at least you have a next year  into the big wide world for me!
neutral,shuuut up  stupid.
surprise,"operationkiwi Ooo....sounds great! hope the weather does stay nice.  re: hot water bottle, was just thinking how BAD it would be to leak"
sadness,Have spent half of the day troubleshooting something that wasn't even within my control. Clusters doesn't always mean high availability.
worry,theboycharlie ooooo sooooo wanna swap my day is well boring revising for looming uni exams
worry,"I really, really want a golden retriever. Too bad I won't be living in a home where she could run around for about 10 years"
worry,I think i'm broke again.  :\
fun,job hunting. yay.....
sadness,I have a headache. And I have nobody to keep me company.   _wants.to.be.a.kidd.again&lt
neutral,MrBillyBones Twitpic won't show me the picture
sadness,I think I may cry. I just sold my 97 civic. Its no longer mine.
sadness,I hate when you cant sleep
sadness,"aianna21 nandiaramos Sadly not, no. They're his colleagues and it's a work party"
worry,I miss my water cuz my well went dry
worry,grayguitar andrewconnell I'm starting to feel depressed with this hurricane talk... I'm on the front lines down here!
worry,"Have to walk to school, and i have two welts on my thighs!"
neutral,I wish I could go to #BEA this weekend.
worry,"Head is pounding.  Well not really pounding, more like tapping I suppose.  Homework time."
worry,"It's beautiful outside. The sun is shining, the birds are singing and I? I'm studying  Wish it were already vacation."
sadness,"JonathanRKnight I wish I was there.I've just moved from San Diego to WA and I'm very depressed, I miss sunny San Diegoooooooo!!"
worry,met the shortest line ever at FCB Tunapuna... then the tellers disappeared
worry,Dang I just realized how bad my eyes have gotten
worry,urgh there's a power cut!!
worry,"runaholickassy i spent the whole day shopping with Aiza.  i don't really like shopping.  still, i had fun but my feet didn't."
neutral,Snakecharmers It's becoming a very tough race. Linda is indeed very talented. But someone has to go every week.  We cut two this week.
worry,"ejhildreth I keep trying to invite ShannonMorgan out, but I think she's afraid of me."
worry,sitting in the parking lot-by myself  i miss you baby. couple min til i gotta deal with a bitch. then i'm peacin' out and hitting the gym
sadness,just got off work.... working night shift at the hospital 12 hrs a day is starting to get to me...
surprise,why did last.fm wanted money from me to listen to my radios
neutral,i want a dog...
worry,Nightmares last night so bad I slept curled tightly in a ball. Sore all over. Took three aspirin. Still hurts.
sadness,is really wishing you would just let me go and let me fight this on my own...i'm tired of feeling like shit because of you!!!
worry,"the #liesgirlstell and #liesboystell threads show how women and men alike are screwed up and struggle to have real, honest relationships"
neutral,marianawerneck o que houve?
worry,JSMSoftware IronPython + Windows Mobile is a no-go. Compact Framework doesn't support Reflection.Emit.
sadness,didnt do my devos...  hopefully my day doesnt suck because of it.
neutral,JonathanRKnight   Delays/cancellations really bite. Have had my fair share and can sympathize. Hang tough!
sadness,Havnt gotten any in months  my ex seems into dating but there isn't that spark anymore  still in love with loser who left me
worry,#flylady Oh deary me: 15 mins not enough to rescue kitchen  I shall come back to it later so I can mow the lawn while still cool outside
happiness,"flippy10 deh, i wish the deal was up when i bought my macbook in december  but.. at least i got 100 bucks off! :]"
neutral,"Gen. Casey: US Ready To Fight War Against North Korea http://tinyurl.com/nehqpb  uh,oh, the war pigs are getting excited again"
love,watchin' a moovie...and im sited about going 2 ma friend Sara's tomorrow at 9:00 a.m. She was injured   I luv ya'll. i will keep u updated
sadness,pistol62 Is the Bee to Busy to talk to his buddy on Yahoo?
worry,LayDown28 man I don't know... they been there a few months and he actually almost cries when he is speakin back to her. Sad
happiness,Back home  Had a great time!
hate,THE SUN IS SHINING&lt
neutral,"iskrin I haven't got ANY cupcakes yet  I was hoping if I said it enough, some would appear!"
neutral,"lukeholland  I am mid-detox, I won't eat any"
neutral,back to br
sadness,has work to go to.
neutral,anaruba I need carseats
happiness,Havin a much better day today!! Finished the last Twilight book yesterday. Classes start next week!      Get at me yall!!
neutral,More homework.
sadness,Getting into the swing of things. I miss someone
hate,Jimmers31 U so dirrrrrty... Why oh why did I pick the Hawks  I figured I needed a longshot and they were a better bet than CAR
sadness,Ughh none of my apps are working !  phone why do you hate me !
worry,"foxy1982 Yeah, plus I always totally overspend"
love,contemplating borrowing one of my moms dogs just for today..i want to take care of someone.
worry,it doesn't feel like a friday
sadness,Work...
worry,On my way to work wish I had more days off
happiness,Hopped up out the bed put my swwwaaaaggg oooonnnn! Then got back in the bed it's raining
worry,Thinks that my friends lifes go around with what they boyfriends do and then they have not time for us girls
sadness,Kay26 *sigh* me miss them days !!
worry,"StartSwimming: I'll be in Heerlen on Sunday but you won't be there, right?"
sadness,New issue of olivemagazine in the office...desperately want to flick through but have so much to do. It'll have to wait
happiness,i got a freakin macbook!!!!! hoorayyy! but i freakin deleted phootbooth.
neutral,Strike one.    (Three and I'm out.)
worry,Back to Tokyo tomorrow. Expecting some rain and no sunshine
worry,kngibbard03 NOOOO!!!!! I'm so sorry
sadness,"JonathanRKnight actually, I wish I was back in Tahoe.  I miss it there."
sadness,mcdonalds mccafe tastes like chewin on a cigarette butt.  I miss my sonic card
sadness,marvelvscapcom doesnt work already
sadness,epiphanygirl i am so upset i didn't get tickets... 3 of my all time FAV artists at one venue
worry," RyanSeacrest : hi there might be a problem as it says no stream online, wat's not right?"
neutral,thinkin twitter is really quite borin
hate,"super late for work, and got an earful from the PSYCHOPATH. GRRRR! Day, please get better"
hate,jojeda I'm a minute in and I want to strangle the used car salesman doing the presentation. Is he related to the ShamWOW guy?
neutral,It looks like it might rain
neutral,"stephenfry  i didn't get it. although, as it's a religious thing i think i'll let that one slip by..."
worry,I miss them..
boredom,in math class waiting for lunchhhhhhhh. seniors are done in fifteen minutes
sadness,"is upset, I left my phone at home again"
neutral,WELL one is a muscle relaxant and the other is an narcotic If your still not getting help i dunno what to say  moist heat?!
fun,Janiro dammm..i thought i was on to something  lollllll
worry,"PotterEntourage I'm glad you threw the tantrum!  I was going to, but I don't know her well enough yet   Was she apologetic, darn her!?"
hate,rt : LiLi214 ughhhh got fuckin pulled over for talkin on my cell in a school zone  FUCK HIGHLAND PARK POLICE rude mofo
worry,"IZEAinc So sad...found otu about your boot camp too late.   Oh well, may be in LA that day anyway."
neutral,Pissed I  fell asleep before I pushed 'record' and missed chrispalko!!
sadness,AsiaRain22  the expensive of their workers welfare  other than that they are the shit !
worry,Policani The Northern Clemency.  But I don't recommend it.  Too much description and not enough action. Too slow
love,LifewithMikey82 this is the end of the semester so i am really busy... have got no time for twitting  what a pity cause i love it
relief,Off for a loooong weekend of inlawing...  ... ...
worry,"jaynenorthover oh and yes (Y) metros, but I dont think I will be drinking, I think I mite have work the nextday"
worry,"&quot;No offense, but your hair is bad today.&quot; Life isn't worth living anymore   Nothing hurts quite like hair insults. *cries into pillow*"
worry,exton won't anyone give poor ernie reyes jr a break?
surprise,dhewlett Well thatï¿½s disappointing to hear.
sadness,Checking out Ciege Cagalawan's S/S Collection and I am regretting that I did not see his collection tonight  I got invites!
worry,needs my mommy  http://plurk.com/p/x116r
hate,Im sure the 5 ppl who came in after me will be seen by a dentist before I will
neutral,ArmyWife98 I second this !!
sadness,"I didn't get the job at Stuff Magazine  Dammit, that would have been amazing!! Oh well."
fun,simonschuster Celebrity sighting: Spongebobs here! #BEA09   LOL! Now I'm even more distraught I missed it
neutral,"is wondering what actually to do, when I have a week to do fuk all bar pack, most peeps r leavin too"
surprise,dsfq Definitely grass cutting   Cole has committed himself to stacking wood for our neighbor as well. Past 2 days set is back too far.
worry,"gina_pina_14  Not good!!He wouldnt like his girl flirting with his colleagues,would he?"
worry,"is upset, I left my phone at home again"
empty,Is Bored at Home
worry,Dimples was in the preview... are they not on today?  It hasn't aired here yet... via http://twib.es/CPF
hate,"dmolsen Gain an instant follower, just use the #tits tag in a tweet. WTF? Lesson learned, Summer of Todd to get a new *official* tag."
sadness,DinoB937 ask mark if he still has that old blink sense of humor!! i miss it
worry,PIRATE VOICE:AAARRRGGGHHH!!! I 4GOT MY DAMN WALLET AT WORK SHERMK!!! DAMMIT!!! SO CLOSE YET SO FAR!!! NOW IM STARVING!!!
sadness,going out on thursdays is a terrible idea. i knew there was a reason i haven't done it all quarter. *pops advil*
worry,aka55 Hope you mom is okay
worry,SeanHughes it is  tequila never ends up being a good decision.
surprise,"simoncollister I moved in with the other half, so no balcony anymore  Have got a great mini-herb garden on window sill though! you?"
neutral,fluBALLOW can i have itL
sadness,is exhausted.
neutral,"Morning, all!  And, since I only have a few more days to move, I won't be able to stay long..."
worry,xXScarletBXx I think that may look a little silly -.- Also my camera is broken so no photo
love,_supernatural_ http://twitpic.com/66l83 - i liked old ruby best.
anger,Confuzzled
surprise,"alexalgebra Unfortunately, that's how it usually goes.  In answer to yesterday...I'm okay. Things may be looking up. Miss talking to you."
worry,hillaryohara because I couldn't get the money to mikey in time.  trust me. It makes me sad too.
surprise,"really cant be bothered going to work tonigh, its too nice to be stuck inside"
fun,idlemichael I will watch that at some point. Have it on hd but Stace also wants to see it in hd so waiting
neutral,at work  closing files
neutral,moniqhar heeeeey! You abandoned me here on Twitter momma dots?
worry,doesntfeelwell
worry,Sitting at my kids school listening to moms discuss their daughters becoming women. I feel unsafe.
surprise,sallyinnorfolk I have to spend lots of  our money on a new boiler...great!!! Not so lucky hey
worry,Sweat is just not cute.  Unfortunately I haven't figured out how to work out without sweating. BOO.
worry,"Im starting to rethink my &quot;I cant stand cold places&quot; stance..this heat, humidity is unbearable &amp; i cant stand the ac no more  #meltingaway"
neutral,i am up - dont want to be though  wish i had slept in more heather woke me up. i've got to work later but first i will read some twilight!
worry,Back to work!
sadness,"RetroRewind i have to wok a nite shift tonite so will miss it  please DM me, i promise i wont tell anyone else ;0) !!!"
worry,zwaloo I've tried that already...
sadness,althearicardo: 3 hrs to go pa ako
neutral,"Something is totally eating up my broc, cab and beans   Insecticidal soap just isn't getting rid of the pests but I don't want chemicals"
hate,"Stuck in an office, red hot"
sadness,Field day is sad. No ribbons for me.
worry,being upset
worry,PortlandUK  Hope you don't get let down again.
happiness,EsmeACullen AWWWWWWW you totally rock...I felt all  and now I'm the happiest girl eva!
neutral,My baby is going to her first sleepover tonight   I'm gonna need a lot of wine to get me through today
worry,lindseygbaker yeah ill be on verizon... so those are my two options right now...
worry,Found out I have to go to the US again in August. Getting tired of transatlantic flights. Not good for my carbon footprint either
sadness,jasondjkim i knowwww.. i cant deal. this 9-5 life is not for me
sadness,kjNYC it's depressing
worry,Gonna go get my teeth taken out.
neutral,fluBALLOW mean
relief,waiting for 5pm to go for a drink with ones out of work because Belinda leaving today  at least the sun is shining for her!
worry,wolverine66 didn't get them
worry,I am tres depressed
surprise,asheleybg That's actually not too far from the truth
sadness,Have $#&amp;!!! Malware on my work PC!  I miss having an IT dept
surprise,MiaOMal i'm not partying tonight
worry,.. so I can only recover 10 photos
worry,I can't find HRHBrianthecat  hope he didn't get eaten by anything last night...he jumped off the deck   he just wont stay in safe *sigh*
surprise,"bex_1210 holy crap, I need to see that! Too bad I gotta wait until tomorrow"
neutral,work work work. my desk is a sea of papers and I am the dinghy being tossed about in its waves.
neutral,"E_L_S How was the game? Unfortunately, teh Cavs lost  I'm sure you had fun though"
sadness,At work... What a miserable day
sadness,I feel like such a failure this morning
worry,Yay for having a giant headache  stupid glasses.
worry,"waking now, so lazy and very worry ..."
worry,What's with the mass exodus from work at half three?  It makes me sad
worry,Enjoyed last night at what I call &quot
worry,"Boy_Kill_Boy oh sorry! not getting all my replies  nothing against you. and yes, i do know nirvana"
worry,rogiertje just checked my account I also paid twice
neutral,will sleep in a while. still mourning the adobo he cooked.  http://plurk.com/p/x12gf
